A1BG	alpha-1-B glycoprotein 
A2M	alpha-2-macroglobulin 
AADACL2	arylacetamide deacetylase like 2 
AADAT	aminoadipate aminotransferase 
AAK1	AP2 associated kinase 1 
AANAT	aralkylamine N-acetyltransferase 
AARS1	alanyl-tRNA synthetase 1 
AARS2	alanyl-tRNA synthetase 2, mitochondrial 
AASS	aminoadipate-semialdehyde synthase 
ABAT	4-aminobutyrate aminotransferase 
ABCA1	ATP binding cassette subfamily A member 1 
ABCA3	ATP binding cassette subfamily A member 3 
ABCA5	ATP binding cassette subfamily A member 5 
ABCB1	ATP binding cassette subfamily B member 1 
ABCB10	ATP binding cassette subfamily B member 10 
ABCB11	ATP binding cassette subfamily B member 11 
ABCB4	ATP binding cassette subfamily B member 4 
ABCB5	ATP binding cassette subfamily B member 5 
ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group) 
ABCB8	ATP binding cassette subfamily B member 8 
ABCB9	ATP binding cassette subfamily B member 9 
ABCC1	ATP binding cassette subfamily C member 1 
ABCC10	ATP binding cassette subfamily C member 10 
ABCC11	ATP binding cassette subfamily C member 11 
ABCC2	ATP binding cassette subfamily C member 2 
ABCC3	ATP binding cassette subfamily C member 3 
ABCC4	ATP binding cassette subfamily C member 4 
ABCC5	ATP binding cassette subfamily C member 5 
ABCC6	ATP binding cassette subfamily C member 6 
ABCC8	ATP binding cassette subfamily C member 8 
ABCC9	ATP binding cassette subfamily C member 9 
ABCG1	ATP binding cassette subfamily G member 1 
ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group) 
ABCG5	ATP binding cassette subfamily G member 5 
ABCG8	ATP binding cassette subfamily G member 8 
ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase 
ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase 
ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase 
ACAA1	acetyl-CoA acyltransferase 1 
ACACA	acetyl-CoA carboxylase alpha 
ACACB	acetyl-CoA carboxylase beta 
ACAD8	acyl-CoA dehydrogenase family member 8 
ACADM	acyl-CoA dehydrogenase medium chain 
ACADS	acyl-CoA dehydrogenase short chain 
ACADSB	acyl-CoA dehydrogenase short/branched chain 
ACAN	aggrecan 
ACAT1	acetyl-CoA acetyltransferase 1 
ACAT2	acetyl-CoA acetyltransferase 2 
ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) 
ACE	angiotensin I converting enzyme 
ACE2	angiotensin I converting enzyme 2 
ACHE	acetylcholinesterase (Cartwright blood group) 
ACO1	aconitase 1 
ACO2	aconitase 2 
ACOT13	acyl-CoA thioesterase 13 
ACOX1	acyl-CoA oxidase 1 
ACP1	acid phosphatase 1 
ACP5	acid phosphatase 5, tartrate resistant 
ACPP	acid phosphatase, prostate 
ACSBG1	acyl-CoA synthetase bubblegum family member 1 
ACSL1	acyl-CoA synthetase long chain family member 1 
ACSL3	acyl-CoA synthetase long chain family member 3 
ACSL4	acyl-CoA synthetase long chain family member 4 
ACSS1	acyl-CoA synthetase short chain family member 1 
ACSS2	acyl-CoA synthetase short chain family member 2 
ACTA1	actin alpha 1, skeletal muscle 
ACTA2	actin alpha 2, smooth muscle 
ACTB	actin beta 
ACTG1	actin gamma 1 
ACTN1	actinin alpha 1 
ACTR2	actin related protein 2 
ACTR3	actin related protein 3 
ACVR1	activin A receptor type 1 
ACVR1B	activin A receptor type 1B 
ACVR2A	activin A receptor type 2A 
ACVRL1	activin A receptor like type 1 
ACY1	aminoacylase 1 
ACY3	aminoacylase 3 
ACYP2	acylphosphatase 2 
ADA	adenosine deaminase 
ADAM10	ADAM metallopeptidase domain 10 
ADAM17	ADAM metallopeptidase domain 17 
ADAM28	ADAM metallopeptidase domain 28 
ADAM9	ADAM metallopeptidase domain 9 
ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1 
ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif 13 
ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif 4 
ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5 
ADCY1	adenylate cyclase 1 
ADCY2	adenylate cyclase 2 
ADCY5	adenylate cyclase 5 
ADCY9	adenylate cyclase 9 
ADCYAP1	adenylate cyclase activating polypeptide 1 
ADD1	adducin 1 
ADGRD1	adhesion G protein-coupled receptor D1 
ADGRF1	adhesion G protein-coupled receptor F1 
ADGRL3	adhesion G protein-coupled receptor L3 
ADH1A	alcohol dehydrogenase 1A (class I), alpha polypeptide 
ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide 
ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide 
ADH4	alcohol dehydrogenase 4 (class II), pi polypeptide 
ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide 
ADH6	alcohol dehydrogenase 6 (class V) 
ADH7	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide 
ADHFE1	alcohol dehydrogenase iron containing 1 
ADI1	acireductone dioxygenase 1 
ADIPOQ	adiponectin, C1Q and collagen domain containing 
ADK	adenosine kinase 
ADM	adrenomedullin 
ADORA1	adenosine A1 receptor 
ADORA2A	adenosine A2a receptor 
ADORA2A-AS1	ADORA2A antisense RNA 1 
ADORA2B	adenosine A2b receptor 
ADORA3	adenosine A3 receptor 
ADRA1A	adrenoceptor alpha 1A 
ADRA1B	adrenoceptor alpha 1B 
ADRA1D	adrenoceptor alpha 1D 
ADRA2A	adrenoceptor alpha 2A 
ADRA2B	adrenoceptor alpha 2B 
ADRA2C	adrenoceptor alpha 2C 
ADRB1	adrenoceptor beta 1 
ADRB2	adrenoceptor beta 2 
ADRB3	adrenoceptor beta 3 
ADSS1	adenylosuccinate synthase 1 
ADSS2	adenylosuccinate synthase 2 
AFDN	afadin, adherens junction formation factor 
AFG3L2	AFG3 like matrix AAA peptidase subunit 2 
AFM	afamin 
AGBL4	ATP/GTP binding protein like 4 
AGT	angiotensinogen 
AGTR1	angiotensin II receptor type 1 
AGTR2	angiotensin II receptor type 2 
AGXT	alanine--glyoxylate and serine--pyruvate aminotransferase 
AGXT2	alanine--glyoxylate aminotransferase 2 
AHCY	adenosylhomocysteinase 
AHR	aryl hydrocarbon receptor 
AHSG	alpha 2-HS glycoprotein 
AHSP	alpha hemoglobin stabilizing protein 
AIFM1	apoptosis inducing factor mitochondria associated 1 
AK1	adenylate kinase 1 
AK2	adenylate kinase 2 
AK4	adenylate kinase 4 
AK8	adenylate kinase 8 
